sku,rev,ord,rev_rank,ord_rank,low_rotation_flag,dead_flag
BTM042-PP-XL,674.0,3,6377.5,5335.5,0,0
BTM042-PP-XS,658.0,2,6398.5,5959.0,0,0
BTM042-PP-XXL,329.0,1,7011.0,6746.5,0,1
BTM042-PP-XXXL,646.0,2,6425.5,5959.0,0,0
BTM043-PP-S,1361.0,3,5502.5,5335.5,0,0
BTM043-PP-XL,1721.95,4,5131.0,4820.5,0,0
BTM043-PP-XS,377.0,1,6927.5,6746.5,0,1
BTM043-PP-XXL,2117.0,5,4801.0,4401.5,0,0
BTM043-PP-XXXL,379.0,1,6923.0,6746.5,0,1
BTM044-PP-M,1080.0,3,5817.5,5335.5,0,0
BTM044-PP-XL,377.0,1,6927.5,6746.5,0,1
BTM044-PP-XS,360.0,1,6954.0,6746.5,0,1
BTM044-PP-XXL,1570.0,3,5284.0,5335.5,0,0
BTM044-PP-XXXL,720.0,2,6316.5,5959.0,0,0
BTM045-PP-M,331.0,1,6996.5,6746.5,0,1
BTM045-PP-XL,2028.0,6,4882.0,4040.0,0,0
BTM045-PP-XXL,690.0,2,6349.5,5959.0,0,0
BTM045-PP-XXXL,676.0,2,6372.5,5959.0,0,0
BTM046-PP-M,605.0,2,6512.5,5959.0,0,0
BTM046-PP-XL,369.0,2,6937.5,5959.0,0,0
BTM047-PP-L,691.0,2,6343.0,5959.0,0,0
BTM047-PP-M,331.0,1,6996.5,6746.5,0,1
BTM047-PP-S,690.0,2,6349.5,5959.0,0,0
BTM047-PP-XS,345.0,1,6977.5,6746.5,0,1
BTM047-PP-XXL,676.0,3,6372.5,5335.5,0,0
BTM047-PP-XXXL,345.0,1,6977.5,6746.5,0,1
BTM048-PP-L,356.0,2,6962.0,5959.0,0,0
BTM048-PP-M,676.0,2,6372.5,5959.0,0,0
BTM048-PP-XS,345.0,1,6977.5,6746.5,0,1
BTM048-PP-XXL,1267.0,3,5594.0,5335.5,0,0
BTM048-PP-XXXL,345.0,1,6977.5,6746.5,0,1
CH201-RED-M,602.0,2,6542.5,5959.0,0,0
CH202-ORANGE-L,574.0,2,6597.0,5959.0,0,0
CH202-ORANGE-XXL,301.0,1,7101.5,6746.5,0,1
CH203-MAROON-L,546.0,2,6635.5,5959.0,0,0
CH203-MAROON-S,301.0,1,7101.5,6746.5,0,1
CH204-PURPLE-L,284.0,1,7145.5,6746.5,0,1
CH204-PURPLE-M,585.0,2,6573.0,5959.0,0,0
CH204-PURPLE-S,284.0,1,7145.5,6746.5,0,1
CH205-YELLOW-S,273.0,2,7153.5,5959.0,0,0
CH205-YELLOW-XL,618.0,2,6482.0,5959.0,0,0
CH205-YELLOW-XXL,891.0,3,6101.5,5335.5,0,0
CH206-GREEN-M,301.0,1,7101.5,6746.5,0,1
CH206-GREEN-XXL,273.0,1,7153.5,6746.5,0,1
CH207-PINK-L,301.0,1,7101.5,6746.5,0,1
CH208-MUSTARD-L,847.0,3,6169.0,5335.5,0,0
CH208-MUSTARD-M,602.0,2,6542.5,5959.0,0,0
CH208-MUSTARD-S,301.0,1,7101.5,6746.5,0,1
CH208-MUSTARD-XXL,301.0,1,7101.5,6746.5,0,1
CH209-BIEGE-L,301.0,1,7101.5,6746.5,0,1
CH209-BIEGE-XL,273.0,1,7153.5,6746.5,0,1
CH213-BROWN-L,574.0,2,6597.0,5959.0,0,0
CH213-BROWN-M,273.0,1,7153.5,6746.5,0,1
CH213-BROWN-S,301.0,2,7101.5,5959.0,0,0
DPT032,305.0,1,7075.0,6746.5,0,1
DPT041,305.0,1,7075.0,6746.5,0,1
DPT052,305.0,1,7075.0,6746.5,0,1
J0001-DR-L,2727.14,4,4357.0,4820.5,0,0
J0001-DR-M,1380.0,2,5478.5,5959.0,0,0
J0001-DR-S,5520.0,8,3045.5,3433.0,0,0
J0001-DR-XL,2070.0,3,4843.5,5335.5,0,0
J0001-DR-XS,2760.0,4,4334.0,4820.5,0,0
J0001-DR-XXL,690.0,1,6349.5,6746.5,0,0
J0001-DR-XXXL,7423.0,11,2497.0,2774.0,0,0
J0002-SKD-L,50188.0,47,303.0,601.0,0,0
J0002-SKD-M,63579.08,60,204.0,411.5,0,0
J0002-SKD-S,41319.54,41,409.0,718.0,0,0
J0002-SKD-XL,68355.08,63,183.0,384.0,0,0
J0002-SKD-XS,30760.0,29,617.0,1109.0,0,0
J0002-SKD-XXL,47734.86,44,333.0,657.0,0,0
J0002-SKD-XXXL,57292.62,52,237.0,526.5,0,0
J0003-SET-L,88891.6,136,108.0,113.5,0,0
J0003-SET-M,183928.52,282,25.0,24.0,0,0
J0003-SET-S,214761.79,332,21.0,17.0,0,0
J0003-SET-XL,114665.22,170,62.0,69.0,0,0
J0003-SET-XS,165599.62,251,31.0,28.0,0,0
J0003-SET-XXL,138199.12,214,42.0,38.0,0,0
J0003-SET-XXXL,153459.88,235,34.0,32.0,0,0
J0004-SKD-L,36060.0,35,492.0,881.0,0,0
J0004-SKD-M,33130.0,31,569.0,1019.5,0,0
J0004-SKD-S,19038.0,18,1116.0,1819.5,0,0
J0004-SKD-XL,33503.0,31,560.0,1019.5,0,0
J0004-SKD-XS,8172.0,7,2336.0,3717.5,0,0
J0004-SKD-XXL,33284.0,30,566.0,1061.0,0,0
